adj,noun,article
hot,soup,NA
green,glove,a
orange,cantaloupe,a
blind,mouse,a
orange,train,a
wooden,sled,a
pink,beer,a
bright,zoo,a
orange,bus,a
green,book,a
green,yogurt,NA
yellow,lion,a
fuzzy,train,a
pregnant,belly,a
brown,honey,NA
hot,car,a
dirty,money,NA
hot,leg,a
red,car,a
orange,eye,an
woolly,head,a
salty,ocean,an
sweet,sugar,NA
green,bowl,a
wet,toy,a
purple,chair,a
yellow,honey,NA
green,hand,a
yellow,frog,a
green,block,a
puffy,cloud,a
fuzzy,blanket,a
gold,balloon,a
flat,puzzle,a
dead,horse,a
red,rabbit,a
green,bow,a
green,chest,a
yellow,tower,a
plastic,cup,a
hot,plate,a
yellow,pepper,a
pink,frosting,NA
brown,cap,a
orange,cider,NA
orange,beak,a
dirty,water,NA
hot,son,a
wooden,barrel,a
pink,cupcake,a
thick,hair,NA
red,rectangle,a
green,squirrel,a
yellow,crib,a
red,berry,a
dark,yellow,a
silky,mask,a
green,rain,NA
purple,pocket,a
light,candle,a
sweet,strawberry,a
orange,sun,a
green,rug,a
purple,popsicle,a
green,stem,a
dark,bed,a
fat,weight,a
purple,plum,a
yellow,airplane,an
dirty,glass,NA
flat,pancake,a
yellow,cap,a
giant,foot,a
plastic,lid,a
pink,shoe,a
gold,cap,a
red,firefly,a
purple,bag,a
sweet,sweet,a
red,puppy,a
moist,worm,a
pink,branch,a
orange,pumpkin,a
yellow,baby,a
hot,ear,an
hot,bite,a
square,flower,a
giant,seal,a
furry,cat,a
purple,penny,a
purple,jacket,a
pink,tray,a
colored,fish,a
yellow,bib,a
red,bell,a
capital,letter,a
green,circle,a
green,dinosaur,a
plastic,chair,a
flat,floor,a
orange,candy,NA
hot,penguin,a
fuzzy,brown,a
green,water,NA
hot,pot,a
brown,eyebrow,an
juicy,onion,an
yellow,boat,a
green,person,a
red,skin,NA
red,mustache,a
silky,ear,an
wooden,button,a
pink,chair,a
purple,bead,a
purple,stick,a
pink,girl,a
colored,boat,a
slippery,noodle,a
purple,guy,a
purple,bird,a
pink,garden,a
orange,lemon,a
dirty,baby,a
flat,pillow,a
hot,foot,a
plastic,truck,a
red,star,a
yellow,crust,NA
green,moose,a
green,tail,a
hot,head,a
north,pole,a
hot,radiator,a
orange,tooth,a
wet,kid,a
yellow,hand,a
silver,dollar,a
hot,wood,NA
pink,whale,a
red,boot,a
purple,hat,a
giant,belt,a
upstairs,honey,NA
purple,light,a
salty,wave,a
pink,box,a
purple,food,NA
purple,sheep,a
dead,leave,a
green,ear,an
bright,day,a
green,top,a
green,scooter,a
wet,report,a
red,card,a
red,dinner,a
upstairs,phone,a
slippery,foot,a
sunny,sun,a
red,foot,a
red,cape,a
gold,glass,NA
yellow,spot,a
hot,sun,a
sweet,song,a
yellow,peach,a
pink,tool,a
dirty,garbage,NA
yellow,dish,a
wet,pal,a
dirty,spot,a
orange,skin,NA
rubber,glove,a
seventh,turtle,a
icy,planet,a
dead,baby,a
green,airplane,an
dirty,bottom,a
red,cheese,NA
square,triangle,a
sunny,sister,a
plastic,mat,a
sweet,garden,a
flat,house,a
yellow,letter,a
green,beard,a
wooden,board,a
yellow,school,a
brown,crayon,a
purple,fish,a
blond,girl,a
green,triceratops,a
green,watch,a
red,cherry,a
outside,window,a
ivory,elephant,an
red,flavor,a
stormy,night,a
fat,cookie,a
red,stick,a
yellow,line,a
red,broccoli,NA
orange,monkey,a
purple,horse,a
purple,grape,a
pink,diamond,a
green,head,a
muddy,foot,a
purple,cow,a
red,ladybug,a
giant,frog,a
orange,shoe,a
pink,bag,a
green,jacket,a
red,plate,a
wet,sheep,a
yellow,bird,a
wet,whale,a
red,bead,a
giant,fish,a
orange,cat,a
red,door,a
green,key,a
red,flower,a
hot,telephone,a
yellow,picture,a
red,cab,a
pink,flower,a
purple,leg,a
dark,dog,a
yellow,chick,a
dirty,pig,a
pink,pear,a
purple,row,a
yellow,juice,NA
yellow,turtle,a
purple,ball,a
yellow,table,a
limp,sheep,a
silver,shell,a
purple,collar,a
brown,paper,a
dirty,bowl,a
yellow,lid,a
dead,turtle,a
silver,card,a
red,truck,a
pink,fairy,a
yellow,stick,a
slippery,ice,NA
hot,juice,NA
red,rail,a
dirty,slide,a
giant,circle,a
pink,paper,a
green,bucket,a
yellow,paint,NA
brown,basket,a
green,mountain,a
barefoot,ballerina,a
pink,tail,a
bright,color,a
red,coat,a
dirty,ground,NA
fat,toe,a
solar,star,a
purple,puppy,a
red,sign,a
hot,mitt,a
pink,dress,a
green,ham,NA
dead,skin,NA
red,road,a
red,block,a
orange,goldfish,a
metallic,color,a
bottom,lip,a
ivory,hippopotamus,a
giant,bucket,a
red,wheat,NA
tin,box,a
red,store,a
thick,mustache,a
fat,girl,a
rubber,line,a
orange,hat,a
green,wall,a
yellow,tube,a
red,lid,a
green,eagle,an
bright,heel,a
green,animal,an
fat,belly,a
green,pony,a
outside,bird,a
pink,lipstick,NA
red,petal,a
green,lego,a
yellow,pig,a
silky,web,a
plastic,bag,a
dark,circle,a
yellow,leg,a
dark,sheep,a
dirty,plant,a
wet,tea,NA
green,pumpkin,a
purple,head,a
hot,earth,NA
juicy,fruit,NA
purple,patch,a
pink,jam,NA
back,porch,a
silver,police,NA
yellow,broom,a
giant,lady,a
pink,heart,a
orange,blueberry,a
dark,glass,NA
furry,teddy,a
hot,corn,NA
purple,bucket,a
pink,star,a
red,planet,a
yellow,pin,a
brown,boot,a
dead,storm,a
yellow,hay,NA
wet,mouth,a
green,board,a
salty,chicken,a
bald,boy,a
twin,brother,a
yellow,leave,a
yellow,pot,a
pink,hair,a
green,ocean,an
hot,bacon,NA
red,paper,a
orange,animal,an
wet,day,a
red,bowl,a
red,squirrel,a
orange,grin,a
slippery,ground,NA
orange,broom,a
red,book,a
gold,tooth,a
dark,orange,an
red,ocean,an
green,soup,NA
gold,dinosaur,a
green,heart,a
red,turtle,a
green,bone,a
red,moon,a
red,scarf,a
red,shirt,a
purple,balloon,a
dirty,arm,an
plastic,animal,an
purple,coat,a
purple,arm,an
brown,bone,a
pink,collar,a
colored,dot,a
purple,pony,a
colored,water,NA
red,dress,a
dark,movie,a
plastic,water,NA
purple,spot,a
furry,mountain,a
red,gym,a
brown,bear,a
purple,butterfly,a
red,sun,the
hot,honey,NA
bright,picture,a
silver,foot,a
khaki,shorts,NA
slippery,floor,a
fat,baby,a
sunny,day,a
purple,flower,a
orange,sunglass,a
green,arm,an
orange,peel,a
pink,picture,a
dirty,color,a
orange,circle,a
thick,card,a
yellow,apple,an
red,hen,a
pink,sock,a
red,freight,NA
red,pole,a
hot,syrup,a
wet,pumpkin,a
hot,donut,a
khaki,pig,a
purple,noodle,a
green,square,a
red,mouth,a
pregnant,vegetable,a
red,punch,a
red,horse,a
orange,pentagon,a
yellow,guitar,a
red,collar,a
sandy,shoe,a
green,bird,a
buttered,stew,a
upstairs,toy,a
wooden,tooth,a
wet,pillow,a
red,dragon,a
purple,brace,a
fuzzy,creature,a
orange,sheet,a
hot,air,NA
wet,paper,a
green,potty,a
square,box,a
dead,fish,a
hot,log,a
orange,turtle,a
dirty,sock,a
orange,planet,a
red,caboose,a
red,cake,a
pink,milk,NA
yellow,squash,a
red,rock,a
bright,tail,a
red,gown,a
wet,floor,a
snowy,day,a
yellow,cheese,NA
wet,soap,NA
red,leaf,a
wet,sand,NA
plastic,piece,a
yellow,submarine,a
giant,puppet,a
dirty,seat,a
sunny,house,a
silver,dinosaur,a
red,basket,a
wet,page,a
wet,paw,a
orange,noodle,a
grey,elephant,an
hot,pea,a
orange,drink,a
green,hat,a
red,heart,a
sandy,cookie,a
dead,leaf,a
green,alligator,an
bright,fish,a
hip,bone,a
fuzzy,nose,a
red,edge,an
hot,chip,a
green,pea,a
pink,table,a
icy,sea,a
pink,egg,an
brown,grass,NA
wet,swing,a
red,sunshine,NA
dark,game,a
giant,creature,a
yellow,cake,a
green,ring,a
purple,kitchen,a
sweet,sauce,NA
hot,beam,a
pink,sword,a
fat,elephant,an
icy,ring,a
oval,piece,a
velvety,calf,a
purple,diamond,a
yellow,tongue,a
green,color,a
bottom,shelf,a
pink,leg,a
dirty,pillow,a
purple,bud,a
wet,hair,a
bright,engine,an
red,square,a
green,goldfish,a
hot,gun,a
gold,shoe,a
red,balloon,a
hot,day,a
yellow,pond,a
green,rectangle,a
brown,egg,an
puffy,cheek,a
wet,bucket,a
wet,table,a
grey,dog,a
giant,body,a
hot,turtle,a
top,row,a
plastic,scissor,a
bright,moon,a
hot,house,a
purple,screw,a
green,lime,a
sunny,seat,a
pink,gown,a
dirty,tank,a
brown,eye,an
naked,baby,a
red,engine,an
green,suit,a
red,cheek,a
red,dog,a
red,eye,an
concrete,cake,a
pinky,toe,a
upstairs,crib,a
red,stripe,a
dirty,soup,NA
flat,piece,a
bathing,guy,a
puffy,branch,a
fat,suit,a
purple,candy,NA
pinky,purple,a
sunny,country,a
red,deck,a
yellow,bear,a
juicy,pear,a
fuzzy,top,a
snowy,bear,a
wooden,pot,a
wet,water,NA
brown,coat,a
sweet,onion,an
pink,bib,a
yellow,phone,a
woolly,sheep,a
orange,day,a
fuzzy,stick,a
yellow,circle,a
brown,sugar,NA
wet,pile,a
wet,tear,a
grey,clay,NA
sweet,pie,a
wooden,horse,a
brown,page,a
fat,child,a
giant,octopus,an
brown,frog,a
purple,floor,a
pink,cap,a
pink,wand,a
wet,cat,a
purple,bus,a
purple,cap,a
fat,bunny,a
giant,water,NA
yellow,car,a
purple,cup,a
orange,ear,an
fat,guy,a
brown,wing,a
orange,sweater,a
green,mouth,a
red,house,a
red,jacket,a
yellow,costume,a
purple,bottle,a
green,honey,NA
brown,horse,a
thick,tree,a
red,van,a
soapy,towel,a
orange,squirrel,a
brown,blanket,a
hot,tongue,a
naked,person,a
red,cart,a
light,coffee,NA
yellow,light,a
wet,garage,a
gold,window,a
hot,blanket,a
pink,nose,a
light,message,a
red,throat,a
purple,dog,a
outdoor,camp,a
red,pepper,a
orange,toe,a
wet,patch,a
red,nail,a
hot,steam,NA
green,diamond,a
purple,eye,an
pink,juice,NA
dirty,floor,a
red,cabin,a
pink,tutu,a
silver,box,a
orange,picture,a
dark,alley,an
yellow,page,a
dark,hay,NA
hot,paper,a
soapy,bubble,a
hot,night,a
upstairs,cup,a
square,piece,a
hot,muffin,a
colored,ear,an
brown,sky,a
hot,nose,a
round,circle,a
brown,top,a
red,mine,a
purple,spoon,a
male,foot,a
pink,suit,a
red,parachute,a
hot,roll,a
fat,cat,a
green,strawberry,a
pink,sand,NA
round,home,a
hot,macaroni,NA
brown,swing,a
dirty,nose,a
hot,pig,a
red,oil,NA
pink,ring,a
flat,bed,a
red,penguin,a
green,chocolate,NA
pink,ball,a
yellow,noodle,a
juicy,meat,NA
hot,breakfast,a
giant,gorilla,a
dark,mouse,a
brown,cow,a
brown,gravy,NA
brown,girl,a
green,slide,a
purple,pad,a
wet,bottom,a
furry,foot,a
hot,jeans,NA
giant,dog,a
yellow,shoe,a
purple,glass,NA
red,street,a
purple,bat,a
plastic,fork,a
dirty,honey,NA
red,tractor,a
furry,dog,a
orange,arm,an
hot,cookie,a
yellow,glass,NA
plastic,child,a
dark,tree,a
red,sand,NA
purple,belly,a
wet,foot,a
bald,baby,a
round,edge,an
yellow,scarf,a
round,cracker,a
orange,finger,a
gold,reindeer,a
red,light,a
wooden,wood,NA
silky,fur,NA
brown,orange,an
hot,carrot,a
orange,tree,a
curly,paper,a
brown,goldfish,a
red,ribbon,a
brown,kitty,a
purple,truck,a
naked,kid,a
yellow,fuzz,NA
dirty,nail,a
green,monkey,a
dirty,bear,a
pink,sweater,a
purple,porch,a
yellow,fence,a
red,sheep,a
wet,spot,a
yellow,lemonade,NA
red,heel,a
wet,card,a
gold,hill,a
grey,button,a
plastic,ball,a
red,piece,a
purple,flag,a
colored,balloon,a
green,dog,a
green,bear,a
green,cow,a
purple,bug,a
green,foot,a
pink,rectangle,a
red,barn,a
bright,sun,a
green,money,NA
hot,rod,a
orange,orange,an
fuzzy,foot,a
pink,pillow,a
yellow,eye,an
yellow,collar,a
sandy,person,a
brown,shoe,a
gold,bow,a
hot,egg,an
gold,gift,a
fuzzy,bunny,a
purple,star,a
colored,ball,a
gold,mountain,a
orange,egg,an
wet,tummy,a
green,sugar,NA
flat,pile,a
salty,sandwich,a
pink,fish,a
wet,dog,a
red,body,a
purple,tail,a
hot,shark,a
square,block,a
wet,stair,a
dirty,mitt,a
red,milk,NA
wet,mop,a
silver,maid,a
plastic,dinosaur,a
colored,stroller,a
dirty,candle,a
green,tube,a
purple,picture,a
mechanic,shoe,a
purple,water,NA
bright,feather,a
grey,sky,a
green,shovel,a
bottom,bunk,a
yellow,brush,a
pink,hat,a
outdoor,art,NA
red,village,a
green,game,a
hot,bubble,a
dirty,toast,NA
icy,drink,a
solid,tomato,a
upstairs,dress,a
dirty,spoon,a
giant,carrot,a
juicy,worm,a
orange,ladybug,a
raspberry,coffee,NA
flat,paper,a
green,giraffe,a
wet,guy,a
icy,penguin,a
purple,lipstick,NA
purple,kangaroo,a
green,chair,a
pink,pant,a
red,cell,a
dead,pile,a
foamy,ball,a
red,rose,a
thick,olive,an
red,night,a
gold,helmet,a
brown,stick,a
flat,triangle,a
purple,mouth,a
bright,dad,a
green,fish,a
square,line,a
red,clay,NA
purple,wiggle,a
red,baby,a
green,jungle,a
red,tomato,a
pink,horse,a
red,log,a
green,bib,a
wooden,piece,a
orange,bird,a
hot,freezer,a
green,puppy,a
bright,yellow,a
yellow,coat,a
giant,robot,a
red,plant,a
thick,soup,NA
round,clock,a
light,phone,a
pink,scarf,a
plastic,noggin,a
purple,crayon,a
dead,head,a
red,camera,a
green,nose,a
dirty,dog,a
pink,yogurt,NA
purple,triangle,a
dirty,bib,a
purple,bowl,a
grey,cap,a
green,leg,a
green,shell,a
red,shop,a
ivory,tusk,a
red,popsicle,a
green,body,a
red,board,a
yellow,plate,a
pink,honey,NA
dead,battery,a
yellow,couch,a
light,horse,a
green,peanut,a
wet,hose,a
red,letter,a
red,button,a
dirty,laundry,NA
fuzzy,bone,a
green,cactus,a
gold,top,a
top,step,a
red,crayon,a
yellow,hair,a
silky,spider,a
slippery,balloon,a
orange,foot,a
purple,goldfish,a
purple,shoe,a
juicy,finger,a
hot,stove,a
sweaty,foot,a
green,elbow,an
wet,ball,a
wooden,train,a
yellow,balloon,a
dirty,kitchen,a
solid,line,a
pink,muffin,a
bottom,pajama,a
yellow,handle,a
soaking,shirt,a
bright,animal,an
flat,ball,a
green,pocket,a
concrete,flower,a
plastic,train,a
dirty,bottle,a
wet,underwear,NA
green,frosting,NA
slippery,sock,a
orange,mustache,a
orange,cracker,a
red,knob,a
gold,dragon,a
green,coat,a
naked,child,a
wet,boy,a
red,cup,a
cursive,letter,a
red,child,a
thick,walrus,a
giant,leg,a
red,shoe,a
flat,nose,a
yellow,necklace,a
yellow,tunnel,a
sweaty,cover,a
purple,car,a
orange,paint,NA
orange,stem,a
green,road,a
giant,worm,a
red,bait,a
green,star,a
plastic,kitchen,a
red,kitchen,a
hot,mud,NA
yellow,water,NA
red,cow,a
yellow,ribbon,a
yellow,tape,NA
orange,milk,NA
flat,tire,a
pink,pig,a
green,land,a
wooden,kitchen,a
dark,green,a
outside,honey,NA
pink,slipper,a
yellow,cup,a
purple,pear,a
green,wing,a
hot,coal,NA
wet,earth,NA
yellow,book,a
red,controller,a
bright,sky,a
soapy,chair,a
orange,leaf,a
dirty,shoe,a
pink,boot,a
square,hole,a
pink,piano,a
bright,edge,an
red,hair,a
yellow,sheep,a
pink,hippo,a
orange,dress,a
pink,cake,a
fat,squirrel,a
wet,mail,NA
gold,card,a
red,scissor,a
fat,boy,a
hot,bus,a
red,top,a
green,thumb,a
orange,sword,a
orange,dolphin,a
green,flag,a
slippery,slide,a
yellow,wing,a
marine,tank,a
pink,block,a
green,cup,a
orange,block,a
hot,pan,a
red,towel,a
pink,elephant,an
yellow,hat,a
yellow,pizza,a
red,elephant,an
yellow,bubble,a
pink,bear,a
hot,sundae,a
sunburned,baby,a
slippery,water,NA
thick,rope,a
pink,coat,a
wet,mud,NA
dirty,truck,a
purple,match,a
wet,wolf,a
green,bridge,a
orange,tube,a
sunny,brother,a
wooden,knife,a
green,bed,a
furry,tail,a
pink,ribbon,a
orange,puppy,a
red,diamond,a
rainy,picture,a
orange,cup,a
flat,grass,NA
dirty,guy,a
orange,floor,a
pink,lip,a
pink,glass,NA
colored,block,a
yellow,cab,a
yellow,sun,a
purple,earring,an
giant,pirate,a
brown,bed,a
spiky,fish,a
yellow,egg,an
dirty,basket,a
dirty,elephant,an
light,ribbon,a
furry,puppy,a
green,car,a
green,knight,a
purple,duck,a
pink,jewelry,NA
brown,train,a
pink,blanket,a
square,pan,a
muddy,guy,a
silky,fence,a
dirty,hallway,a
orange,hair,a
plastic,track,a
orange,head,a
hot,broccoli,NA
purple,wing,a
brown,bag,a
orange,hamster,a
oval,plate,a
hot,pad,a
red,page,a
red,sky,a
red,rod,a
green,dragon,a
oval,square,a
green,tummy,a
dirty,tractor,a
pink,skirt,a
muddy,mud,NA
purple,color,a
red,fruit,NA
pink,rake,a
dirty,station,a
yellow,bus,a
yellow,bucket,a
green,octopus,an
wet,baby,a
hot,fire,a
hot,rain,NA
red,drawer,a
orange,rain,NA
crispy,worm,a
green,door,a
female,alligator,an
orange,necklace,a
green,chip,a
thick,baby,a
yellow,triangle,a
sunny,curtain,a
red,water,NA
hot,grill,a
orange,sugar,NA
yellow,dog,a
green,cantaloupe,a
yellow,train,a
orange,fish,a
yellow,track,a
green,melon,a
dirty,shirt,a
orange,stripe,a
ivory,tooth,a
hot,candle,a
green,triangle,a
purple,snake,a
solid,body,a
orange,crayon,a
purple,mouse,a
purple,door,a
dirty,head,a
dirty,tissue,a
brown,oatmeal,NA
thick,page,a
puffy,tree,a
sweet,butter,a
pink,finger,a
dirty,foot,a
red,bike,a
yellow,mouth,a
purple,ketchup,NA
orange,carpet,a
giant,juice,NA
upstairs,book,a
hot,tub,a
green,paint,NA
wet,honey,NA
round,dinosaur,a
yellow,stripe,a
red,tricycle,a
thick,noodle,a
pink,bottle,a
red,neck,a
wet,shorts,NA
colored,triangle,a
fuzzy,sofa,a
dark,forest,a
red,reindeer,a
green,pine,a
red,carpet,a
colored,paper,a
red,triangle,a
pink,peg,a
green,cap,a
dirty,ear,an
yellow,chair,a
thick,oil,NA
green,vacuum,a
red,bug,a
hot,nugget,a
yellow,lemon,a
green,goose,a
wooden,shoe,a
grey,cloud,a
gold,bean,a
purple,pepperoni,NA
hot,grease,NA
purple,night,a
rubber,shoe,a
furry,head,a
wooden,sword,a
yellow,coral,NA
red,airplane,an
orange,chalk,NA
red,boat,a
red,tower,a
dirty,cook,a
orange,glass,NA
yellow,floor,a
curly,tail,a
dead,bone,a
orange,tiger,a
yellow,card,a
stormy,day,a
green,telephone,a
green,shoe,a
bright,moonlight,NA
red,bridge,a
giant,cat,a
hot,oven,an
yellow,cupcake,a
hot,tea,NA
slippery,leg,a
pink,ear,an
giant,book,a
green,sock,a
red,pillow,a
flat,cup,a
wooden,hand,a
red,grain,NA
light,guy,a
naked,phone,a
wooden,spoon,a
orange,leg,a
rubber,duck,a
blonde,lady,a
orange,handle,a
brown,light,a
underground,stream,a
dark,cave,a
yellow,ring,a
furry,kiss,a
green,cheese,NA
green,leave,a
yellow,head,a
brown,dot,a
thick,worm,a
red,panda,a
green,field,a
denim,jacket,a
green,candle,a
yellow,arrow,an
flat,tree,a
adult,game,a
colored,glue,NA
purple,basket,a
yellow,parrot,a
pink,eye,an
red,goldfish,a
purple,snail,a
green,pot,a
hot,cereal,NA
pink,card,a
pink,sandal,a
soapy,day,a
slippery,soap,NA
brown,monkey,a
dark,basement,a
wet,hand,a
yellow,cow,a
furry,fur,NA
fuzzy,ear,an
dark,horse,a
red,chicken,a
fat,spider,a
red,lunch,a
red,swing,a
hot,plastic,NA
orange,frosting,NA
red,chip,a
purple,tree,a
red,branch,a
red,blood,NA
watery,eye,an
green,lawn,a
brown,milk,NA
yellow,feather,a
purple,stage,a
flat,book,a
green,sun,a
round,gift,a
square,eye,an
brown,belt,a
dirty,boy,a
dark,bear,a
giant,lid,a
dark,rock,a
rocky,truck,a
green,stroller,a
purple,train,a
orange,guy,a
yellow,wagon,a
flat,stitch,a
wet,crust,NA
wet,battery,a
blond,horse,a
plastic,taste,a
fuzzy,hair,a
hot,peach,a
brown,path,a
dark,hen,a
pink,soap,NA
yellow,bin,a
pink,spoon,a
purple,dot,a
round,roll,a
sweet,cocoa,NA
thick,sandwich,a
orange,triangle,a
red,lobster,a
yellow,boy,a
purple,hand,a
gold,tree,a
round,glass,NA
red,hexagon,a
dirty,wash,a
hot,bean,a
dirty,table,a
green,gum,a
soapy,milk,NA
buttered,toast,NA
starry,night,a
purple,scissor,a
red,potato,a
dark,tunnel,a
brown,aspen,an
wooden,floor,a
red,arm,an
yellow,pie,a
green,stripe,a
light,night,a
yellow,shell,a
brown,penny,a
cloudy,day,a
bright,night,a
red,wood,NA
purple,ear,an
red,bin,a
slippery,curtain,a
red,wagon,a
yellow,banana,a
purple,footprint,a
pink,tummy,a
ivory,cow,a
silver,grey,NA
purple,onion,an
green,leaf,a
grey,mouse,a
light,color,a
purple,wind,a
red,circle,a
green,eye,an
sweaty,sock,a
hot,slide,a
dirty,cup,a
silver,hat,a
fuzzy,bed,a
yellow,tail,a
orange,hand,a
red,boy,a
red,pancake,a
wet,rug,a
brown,cat,a
red,drink,a
orange,suit,a
yellow,blanket,a
yellow,ball,a
brown,ant,an
giant,truck,a
red,suit,a
orange,plate,a
silver,nose,a
purple,raindrop,a
red,bus,a
orange,square,a
green,frog,a
orange,bead,a
green,oatmeal,NA
red,dot,a
yellow,horn,a
purple,top,a
purple,card,a
orange,baby,a
yellow,guy,a
hot,tree,a
red,mat,a
red,pea,a
light,jacket,a
blind,mommy,a
tan,car,a
yellow,butterfly,a
orange,tricycle,a
yellow,star,a
pink,princess,a
downtown,street,a
hot,dough,NA
red,box,a
brown,bird,a
pink,tulip,a
red,nest,a
light,truck,a
green,sandal,a
teal,color,a
pink,triangle,a
dirty,hose,a
round,page,a
wet,suit,a
rocky,rock,a
light,movie,a
brown,duck,a
hardboiled,egg,an
gold,map,a
purple,paint,NA
silver,bell,a
orange,ark,an
wooden,book,a
green,sheep,a
brown,sheep,a
dirty,banana,a
red,jam,NA
wooden,hammer,a
green,balloon,a
brown,beard,a
wet,chest,a
fuzzy,tail,a
purple,paper,a
green,parachute,a
bright,paper,a
pink,circle,a
red,clock,a
dirty,crayon,a
yellow,lizard,a
green,tooth,a
yellow,truck,a
red,honey,NA
dark,couple,a
orange,color,a
wet,lady,a
green,candy,NA
hot,oil,NA
green,hoop,a
chief,dog,a
red,hat,a
red,onion,an
pink,peach,a
dirty,diaper,a
blond,guy,a
silver,car,a
orange,kitty,a
red,seat,a
brown,circle,a
pink,floor,a
pink,paint,NA
crispy,bagel,a
light,floor,a
pink,dragon,a
giant,shoe,a
yellow,bag,a
oval,picture,a
purple,pentagon,a
red,bag,a
hot,circle,a
wet,rain,NA
red,table,a
colored,light,a
naked,foot,a
green,cat,a
sunny,cloud,a
orange,flag,a
dark,letter,a
yellow,horse,a
hot,fan,a
dirty,park,a
red,flag,a
orange,key,a
hot,pool,a
giant,building,a
muddy,ground,NA
red,butterfly,a
red,pot,a
green,train,a
fat,bacon,NA
green,tie,a
red,bone,a
yellow,queen,a
red,cap,a
hot,cactus,a
sunny,road,a
raspberry,yogurt,NA
green,finger,a
red,nose,a
pink,boat,a
green,ball,a
blonde,guy,a
red,mark,a
rainy,day,a
giant,kitty,a
orange,dog,a
brown,leaf,a
sweet,girl,a
purple,frog,a
bright,site,a
yellow,diamond,a
purple,turtle,a
sweet,peach,a
purple,garage,a
pink,purse,a
fuzzy,light,a
bright,fruit,NA
orange,carrot,a
yellow,piece,a
orange,tea,NA
yellow,cement,NA
silver,rocket,a
giant,piece,a
fuzzy,bear,a
red,head,a
green,pipe,a
red,wheel,a
green,swing,a
giant,bean,a
dirty,toe,a
yellow,rain,NA
grey,piece,a
yellow,bread,NA
thick,brush,a
sunburned,head,a
green,baby,a
purple,king,a
